id,department,employee_name,amount,date
1,finance,Alice Johnson,52000.00,2026-01-15
2,hr,Bob Smith,48000.00,2026-01-18
3,sales,Carol Davis,61000.00,2026-01-22
4,finance,David Wilson,55000.00,2026-02-03
5,hr,Eva Martinez,46000.00,2026-02-07
6,sales,Frank Brown,72000.00,2026-02-12
7,finance,Grace Lee,58000.00,2026-02-18
8,sales,Henry Garcia,69000.00,2026-02-25
9,hr,Iris Chen,51000.00,2026-03-02
10,finance,Jack Taylor,63000.00,2026-03-09
11,sales,Karen Adams,75000.00,2026-03-14
12,hr,Liam Patel,49000.00,2026-03-21
13,finance,Mia Robinson,57000.00,2026-04-02
14,sales,Noah Walker,68000.00,2026-04-09
15,hr,Olivia Hall,53000.00,2026-04-17
16,finance,Peter Young,60000.00,2026-04-24
17,sales,Quinn Allen,71000.00,2026-05-01
18,hr,Rachel King,50000.00,2026-05-08
